applicant_id,age,gender,education_level,marital_status,income,credit_score,loan_amount,loan_purpose,employment_status,years_at_current_job,payment_history,dti_ratio,property_value,previous_defaults,marital_status_change,risk_rating,debt,ltv_ratio
21,26,Female,PhD,Divorced,51460,0,29970,Business,Unemployed,19,Excellent,0.430232588,252797,3,0,Medium,22139.76898,0.118553622
22,22,Non-binary,PhD,Widowed,100169,796,0,Home,Employed,15,Poor,0.174743185,259802,2,0,Medium,17503.8501,0
23,37,Non-binary,PhD,Single,0,664,34904,Auto,Self-employed,12,Excellent,0.106281464,152686,3,0,Medium,0,0.228599872
24,64,Non-binary,Bachelor's,Divorced,118318,702,41029,Business,Unemployed,10,Poor,0.228351473,0,3,1,Low,27018.08958,#DIV/0!
25,55,Female,High School,Divorced,61811,641,43859,Auto,Self-employed,18,Excellent,0.199707086,185670,0,0,Low,12344.09469,0.236220176
26,41,Male,PhD,Single,94796,742,0,Business,Unemployed,16,Good,0.355808376,129119,3,0,Low,33729.21081,0
27,36,Non-binary,PhD,Single,85355,667,18834,Auto,Employed,8,Poor,0.198897711,0,2,2,Medium,16976.91412,#DIV/0!
28,41,Male,PhD,Married,93133,791,14052,Business,Employed,13,Poor,0.282850057,82774,1,0,Low,26342.67436,0.169763452
29,64,Female,PhD,Married,0,749,38635,Personal,Self-employed,16,Fair,0.320230266,0,0,1,Low,0,#DIV/0!
30,64,Male,PhD,Married,0,636,21086,Auto,Employed,13,Fair,0.460985402,261445,4,2,Low,0,0.080651762
31,34,Male,PhD,Married,115201,0,21315,Personal,Unemployed,10,Poor,0.243942664,81794,1,2,Medium,28102.43884,0.260593687
32,49,Non-binary,High School,Divorced,109882,0,35938,Home,Unemployed,3,Excellent,0.489437675,237388,2,0,Low,53780.3906,0.151389287
33,48,Non-binary,PhD,Married,46408,632,48403,Personal,Unemployed,16,Excellent,0.185325306,93647,1,0,Low,8600.576801,0.516866531
34,69,Non-binary,PhD,Single,38065,0,15818,Business,Self-employed,8,Poor,0.391979313,107451,0,1,Low,14920.69255,0.147211287
35,57,Female,Bachelor's,Widowed,0,673,16398,Business,Self-employed,8,Fair,0.483784345,159119,1,0,Low,0,0.103054946
36,46,Non-binary,High School,Widowed,0,637,6382,Auto,Self-employed,2,Good,0.5443904,156010,2,1,Low,0,0.040907634
37,49,Male,Bachelor's,Divorced,117392,685,0,Business,Self-employed,12,Good,0.470600519,261093,1,0,Medium,55244.73613,0
38,57,Female,Master's,Single,54754,604,11947,Home,Self-employed,13,Good,0.287418594,282006,2,0,High,15737.3177,0.042364347
39,41,Non-binary,High School,Divorced,109379,606,5252,Home,Self-employed,16,Poor,0.454458037,0,0,2,Low,49708.16563,#DIV/0!
40,47,Female,High School,Single,33065,783,6895,Auto,Self-employed,2,Fair,0.116680916,158428,2,0,Low,3858.054488,0.043521347
41,64,Male,Master's,Single,0,0,0,Personal,Unemployed,16,Excellent,0.458481351,108664,0,1,Low,0,0
42,35,Female,High School,Single,101496,715,16971,Home,Employed,17,Fair,0.53378731,271400,0,0,Medium,54177.27682,0.062531319
43,35,Female,PhD,Divorced,42787,0,14949,Home,Employed,19,Excellent,0.224991083,227655,2,2,Low,9626.693468,0.065665151
44,18,Female,Master's,Divorced,0,748,14522,Home,Unemployed,14,Good,0.562809958,176629,1,2,Low,0,0.082217529
45,21,Male,Bachelor's,Widowed,73952,631,49525,Auto,Unemployed,3,Excellent,0.143644091,32912,1,2,Low,10622.76782,1.504770297
46,67,Non-binary,Master's,Divorced,54247,0,5011,Personal,Unemployed,7,Excellent,0.344651883,239162,0,0,Low,18696.3307,0.020952325
47,49,Male,Bachelor's,Married,85689,0,0,Personal,Unemployed,2,Excellent,0.336009427,232433,0,0,Medium,28792.31179,0
48,30,Female,Bachelor's,Divorced,59593,691,0,Business,Unemployed,8,Good,0.424079453,279118,2,0,Low,25272.16684,0
49,28,Non-binary,Bachelor's,Married,69237,0,46898,Personal,Employed,12,Excellent,0.516255497,89494,3,2,Low,35743.98185,0.524035131
50,65,Male,PhD,Widowed,77146,796,38386,Business,Self-employed,17,Fair,0.323186386,262145,4,1,Medium,24932.53693,0.146430411
51,68,Female,PhD,Single,59300,0,34783,Auto,Employed,3,Excellent,0.235760539,270400,0,2,Low,13980.59996,0.128635355
52,59,Non-binary,Bachelor's,Married,82233,0,45345,Personal,Self-employed,9,Poor,0.471530629,208180,4,1,Low,38775.37821,0.217816313
53,39,Non-binary,PhD,Single,93509,703,16651,Auto,Unemployed,5,Fair,0.528582348,270036,0,0,Medium,49427.20678,0.061662149
54,64,Non-binary,Bachelor's,Married,0,763,0,Business,Employed,6,Fair,0.302038878,272412,1,0,Low,0,0
55,69,Non-binary,High School,Divorced,0,721,39416,Personal,Unemployed,4,Excellent,0.418045622,80601,2,1,Medium,0,0.489026191
56,29,Male,Bachelor's,Divorced,85164,710,14441,Personal,Unemployed,2,Poor,0.257828553,64687,0,0,Medium,21957.71089,0.223244238
57,47,Male,High School,Widowed,119747,613,26507,Business,Self-employed,10,Good,0.46492483,221402,1,0,Medium,55673.35362,0.119723399
58,27,Non-binary,Bachelor's,Married,93728,727,0,Auto,Unemployed,11,Poor,0.407184509,203446,0,1,Low,38164.58966,0
59,54,Non-binary,PhD,Married,100908,764,0,Business,Employed,18,Fair,0.240809219,250753,0,0,Medium,24299.57667,0
60,67,Male,PhD,Widowed,0,608,12657,Business,Unemployed,18,Good,0.465760185,107089,0,0,Medium,0,0.118191411
61,36,Male,Bachelor's,Divorced,29868,635,12521,Auto,Employed,17,Excellent,0.350454133,240325,4,0,Low,10467.36404,0.052100281
62,36,Female,Master's,Married,68776,612,47707,Personal,Unemployed,11,Fair,0.332396791,68491,1,1,Low,22860.9217,0.696544071
63,54,Female,Bachelor's,Married,98669,720,19464,Business,Unemployed,2,Poor,0.167904091,26571,1,0,High,16566.92875,0.732527944
64,19,Non-binary,Master's,Single,112545,712,15503,Home,Unemployed,7,Poor,0.252172854,194154,4,0,Low,28380.79385,0.079848986
65,39,Non-binary,PhD,Widowed,118717,647,10656,Home,Self-employed,12,Poor,0.185634504,168504,0,2,Low,22037.97141,0.063238855
66,48,Male,Bachelor's,Single,0,649,38575,Home,Self-employed,3,Fair,0.430090518,143440,0,0,Medium,0,0.268927775
67,64,Male,Bachelor's,Single,52822,636,37391,Business,Employed,12,Excellent,0.498698763,0,1,1,Medium,26342.26606,#DIV/0!
68,44,Non-binary,PhD,Widowed,51280,750,22162,Home,Employed,11,Excellent,0.550130495,87579,1,2,Medium,28210.69178,0.253051531
69,55,Female,Bachelor's,Divorced,63915,0,10084,Personal,Employed,7,Good,0.362397446,0,1,0,High,23162.63276,#DIV/0!
70,34,Female,Master's,Widowed,67046,0,11753,Personal,Unemployed,12,Fair,0.319500175,90851,0,2,Low,21421.20873,0.129365665
71,65,Male,Master's,Divorced,106526,650,23161,Auto,Employed,19,Poor,0.544867397,98025,0,0,Low,58042.54433,0.23627646
72,68,Non-binary,Master's,Married,0,700,23834,Auto,Employed,1,Excellent,0.168123709,147082,2,0,Low,0,0.162045662
73,47,Female,Bachelor's,Divorced,91691,0,42140,Auto,Unemployed,7,Fair,0.568474245,235362,1,0,Medium,52123.972,0.179043346
74,20,Male,Master's,Widowed,0,692,16283,Home,Self-employed,4,Good,0.466075526,144758,1,1,Low,0,0.112484284
75,36,Non-binary,Bachelor's,Widowed,37105,720,33259,Home,Employed,7,Fair,0.412777028,294048,3,1,Medium,15316.09162,0.113107384
76,62,Female,Bachelor's,Single,31063,793,0,Personal,Self-employed,7,Good,0.143936101,226298,0,1,Low,4471.087105,0
77,35,Female,High School,Married,0,0,9833,Personal,Self-employed,17,Fair,0.155495082,131120,0,0,High,0,0.074992373
78,66,Female,Bachelor's,Single,0,0,23993,Personal,Self-employed,19,Poor,0.150792729,60925,0,2,Low,0,0.393812064
79,50,Non-binary,Master's,Single,56108,796,0,Personal,Self-employed,4,Excellent,0.111494703,97144,3,1,High,6255.744796,0
80,31,Female,Bachelor's,Married,69625,636,15188,Home,Unemployed,19,Excellent,0.506634373,0,1,0,Low,35274.41822,#DIV/0!
81,38,Non-binary,Master's,Divorced,82093,726,20454,Home,Self-employed,5,Good,0.190221959,39434,0,0,High,15615.89128,0.518689456
82,39,Female,Master's,Widowed,100015,615,23114,Business,Unemployed,14,Poor,0.484642491,85309,3,0,Low,48471.51874,0.270944449
83,50,Female,Master's,Divorced,96293,708,21552,Auto,Employed,3,Excellent,0.12939421,255942,0,1,Low,12459.75666,0.084206578
84,49,Non-binary,Bachelor's,Single,30680,0,24840,Auto,Self-employed,5,Excellent,0.243023798,101996,3,1,Low,7455.970123,0.243538962
85,24,Male,Bachelor's,Single,0,627,0,Personal,Self-employed,12,Fair,0.255696688,147499,4,2,Low,0,0
86,23,Male,Bachelor's,Married,62541,680,0,Business,Employed,8,Excellent,0.244546545,0,0,2,Medium,15294.18547,#DIV/0!
87,38,Non-binary,Bachelor's,Single,48069,670,17841,Home,Unemployed,17,Excellent,0.157519127,241550,0,2,Low,7571.786916,0.073860484
88,28,Female,High School,Married,56895,0,0,Personal,Self-employed,14,Poor,0.227617324,128403,1,1,Low,12950.28765,0
89,35,Female,PhD,Married,72433,792,5747,Business,Self-employed,4,Good,0.327373935,112076,3,2,Low,23712.67623,0.051277704
90,50,Non-binary,PhD,Divorced,0,640,47751,Auto,Self-employed,10,Fair,0.343555167,0,4,0,Medium,0,#DIV/0!
91,56,Female,Master's,Single,0,734,40516,Auto,Self-employed,9,Poor,0.378206875,203231,3,1,Low,0,0.19935935
92,22,Non-binary,Master's,Widowed,65266,617,34746,Home,Unemployed,18,Poor,0.268944281,40215,1,1,Low,17552.91744,0.864005968
93,40,Male,Master's,Widowed,98578,663,8747,Auto,Self-employed,1,Good,0.514670637,37396,0,1,Low,50735.20205,0.233902022
94,39,Male,High School,Married,90227,770,18079,Business,Employed,3,Poor,0.518758954,163838,0,1,Low,46806.06414,0.110346806
95,31,Non-binary,High School,Divorced,107081,740,18101,Business,Employed,5,Poor,0.108793817,25157,1,2,Low,11649.75072,0.719521406
96,45,Female,High School,Widowed,82878,748,17023,Auto,Self-employed,19,Poor,0.584911257,192705,4,1,Low,48476.27516,0.088337096
97,62,Non-binary,Bachelor's,Widowed,46439,645,0,Auto,Employed,6,Poor,0.443604125,277288,0,2,Low,20600.53196,0
98,34,Non-binary,High School,Widowed,44085,687,0,Home,Unemployed,9,Poor,0.448937891,253262,0,1,Low,19791.42692,0
99,19,Male,High School,Married,35817,731,44426,Home,Unemployed,1,Fair,0.505459747,20626,0,2,Low,18104.05176,2.153883448
100,49,Non-binary,Bachelor's,Married,54648,0,20427,Personal,Unemployed,8,Fair,0.121472995,276619,4,0,Medium,6638.256231,0.073845253
101,36,Female,High School,Married,65104,699,44260,Home,Employed,2,Excellent,0.337761725,135458,2,2,Low,21989.63934,0.326743345
102,43,Male,PhD,Married,109698,793,46500,Personal,Self-employed,11,Good,0.347851155,159076,1,1,Medium,38158.576,0.292313108
103,23,Male,Bachelor's,Single,28906,724,24532,Business,Unemployed,3,Poor,0.500613651,96640,0,0,Low,14470.7382,0.253849338
104,22,Male,Master's,Widowed,104766,764,16117,Business,Unemployed,17,Good,0.211525061,156630,3,1,Low,22160.63454,0.102898551
105,41,Female,Master's,Widowed,79556,742,5235,Home,Employed,5,Excellent,0.322356139,247857,4,0,Low,25645.36499,0.02112105
106,57,Male,Master's,Single,116102,629,31831,Home,Employed,16,Excellent,0.516362513,228018,2,0,Medium,59950.72048,0.139598628
107,31,Female,PhD,Widowed,105141,0,41006,Auto,Self-employed,3,Good,0.162774178,26499,1,2,Low,17114.23985,1.547454621
108,58,Non-binary,High School,Widowed,20947,776,38756,Personal,Unemployed,0,Good,0.218403224,91848,0,1,Low,4574.892333,0.421958018
109,36,Non-binary,PhD,Single,0,660,11157,Home,Self-employed,7,Excellent,0.297577945,0,2,0,Medium,0,#DIV/0!
110,52,Male,High School,Married,32094,634,17612,Home,Self-employed,17,Good,0.549456544,114375,2,0,Medium,17634.25832,0.153984699
111,22,Female,High School,Single,67984,0,49459,Business,Employed,12,Fair,0.13482981,174044,0,0,Medium,9166.269803,0.284175266
112,55,Non-binary,Master's,Widowed,108177,735,23616,Business,Employed,12,Fair,0.335284356,165613,1,2,Medium,36270.05578,0.142597501
113,44,Female,High School,Divorced,30295,686,0,Home,Unemployed,19,Good,0.252783311,0,0,2,Low,7658.070407,#DIV/0!
114,41,Female,PhD,Widowed,96591,722,7260,Home,Employed,12,Fair,0.584494809,102681,2,2,Medium,56456.9381,0.070704415
115,33,Male,PhD,Single,0,624,47874,Personal,Employed,13,Excellent,0.455208343,28057,0,1,Low,0,1.70631215
116,40,Male,Master's,Married,83865,663,15896,Auto,Unemployed,6,Excellent,0.358704651,0,0,2,Low,30082.76556,#DIV/0!
117,53,Female,High School,Married,51236,718,31196,Personal,Self-employed,3,Poor,0.168630607,45029,0,1,Low,8639.95778,0.692797975
118,18,Non-binary,Master's,Single,0,651,18653,Home,Self-employed,16,Good,0.49222995,226806,3,1,High,0,0.082242092
119,37,Non-binary,High School,Divorced,42970,703,0,Personal,Employed,12,Poor,0.358687273,0,1,2,Medium,15412.79212,#DIV/0!
120,36,Non-binary,PhD,Divorced,101863,688,31132,Business,Employed,2,Poor,0.219403114,149141,0,2,Low,22349.0594,0.208742063
121,67,Male,Master's,Widowed,107366,655,20154,Home,Employed,9,Poor,0.416617868,108345,4,1,Low,44730.59402,0.18601689
122,62,Female,PhD,Widowed,101848,699,45635,Home,Self-employed,7,Poor,0.591653333,0,0,2,High,60258.70866,#DIV/0!
123,60,Female,PhD,Married,74030,711,9459,Personal,Unemployed,19,Fair,0.160676888,96641,0,2,Low,11894.91002,0.097877712
124,39,Male,Master's,Divorced,56116,636,16578,Personal,Employed,12,Excellent,0.313107732,197835,1,0,Medium,17570.35349,0.083797104
125,59,Male,PhD,Single,103794,0,9288,Auto,Unemployed,2,Excellent,0.412109478,195205,2,1,Low,42774.49116,0.047580748
126,50,Male,Bachelor's,Married,79300,697,26963,Home,Employed,1,Good,0.216722419,0,0,1,Low,17186.08783,#DIV/0!
127,64,Male,PhD,Single,101855,686,48584,Auto,Self-employed,9,Good,0.572524406,138039,3,1,Low,58314.47337,0.351958504
128,40,Male,PhD,Single,89535,624,12990,Auto,Unemployed,6,Good,0.117355071,48187,3,2,Low,10507.38628,0.269574782
129,18,Non-binary,PhD,Divorced,107329,735,22694,Home,Self-employed,1,Poor,0.23280902,71327,0,1,Low,24987.15931,0.318168436
130,42,Non-binary,Master's,Widowed,61048,0,17631,Business,Employed,19,Excellent,0.266383747,252248,3,0,Low,16262.19499,0.0698955
131,39,Non-binary,High School,Widowed,99622,720,23158,Auto,Employed,6,Good,0.419813928,65046,2,1,Low,41822.70314,0.356024967
132,67,Male,PhD,Divorced,110896,689,11503,Business,Self-employed,9,Excellent,0.106251703,121360,2,0,Medium,11782.88886,0.094784113
133,28,Female,PhD,Single,64541,703,20017,Auto,Self-employed,1,Good,0.206311988,24856,1,1,High,13315.58202,0.805318635
134,53,Non-binary,PhD,Single,26613,771,6982,Auto,Employed,5,Fair,0.107198287,56108,0,0,Low,2852.868012,0.124438583
135,40,Male,Bachelor's,Divorced,0,721,41599,Auto,Unemployed,19,Fair,0.363903795,234986,1,1,Low,0,0.177027568
136,31,Female,PhD,Widowed,50885,669,18293,Home,Unemployed,7,Poor,0.258570035,99103,3,2,Low,13157.33623,0.184585734
137,48,Male,Master's,Divorced,107050,711,14382,Business,Self-employed,3,Excellent,0.502107966,142063,1,1,Medium,53750.65776,0.101236775
138,20,Non-binary,PhD,Divorced,0,713,19353,Personal,Self-employed,7,Good,0.554183083,253330,0,1,Medium,0,0.076394426
139,20,Non-binary,Master's,Widowed,91540,760,0,Business,Employed,16,Poor,0.232628264,177884,0,0,Low,21294.79129,0
140,22,Male,PhD,Single,0,632,0,Personal,Unemployed,1,Excellent,0.126001223,83144,3,1,Medium,0,0
141,35,Male,High School,Divorced,114877,699,46113,Business,Unemployed,6,Excellent,0.389906857,254153,1,1,Medium,44791.33001,0.181437953
142,36,Female,Bachelor's,Divorced,44283,755,42326,Personal,Self-employed,7,Poor,0.116135309,228890,0,2,Low,5142.819888,0.18491852
143,59,Female,High School,Single,60385,743,30961,Business,Self-employed,19,Excellent,0.383779017,222830,2,0,Low,23174.49594,0.138944487
144,28,Male,Master's,Divorced,0,618,0,Personal,Unemployed,14,Poor,0.346111901,25885,0,0,Medium,0,0
145,66,Female,Master's,Divorced,47785,0,14137,Auto,Employed,16,Fair,0.369847066,147601,4,0,Medium,17673.14205,0.095778484
146,36,Non-binary,Bachelor's,Single,69895,680,13132,Business,Unemployed,18,Poor,0.593281265,0,0,0,Low,41467.39402,#DIV/0!
147,60,Male,High School,Divorced,61559,623,9038,Home,Unemployed,16,Fair,0.530640775,0,0,1,Low,32665.71547,#DIV/0!
148,63,Female,High School,Single,40113,722,5044,Personal,Employed,1,Excellent,0.496244458,159493,0,2,Low,19905.85394,0.031625212
149,43,Female,Bachelor's,Single,29797,727,10640,Business,Self-employed,14,Excellent,0.509303064,89291,3,0,Low,15175.7034,0.119160946
150,39,Non-binary,Bachelor's,Divorced,31137,757,7326,Personal,Unemployed,9,Poor,0.441794267,68848,1,2,Medium,13756.14809,0.10640832
151,62,Female,PhD,Divorced,115923,726,37406,Personal,Self-employed,17,Good,0.287310878,154178,2,1,High,33305.93891,0.242615678
152,39,Male,High School,Single,117661,763,8876,Home,Unemployed,15,Poor,0.565118423,0,2,1,Low,66492.39877,#DIV/0!
153,22,Female,High School,Widowed,69738,727,15974,Auto,Self-employed,10,Good,0.387483457,238717,0,1,Low,27022.32132,0.066916055
154,59,Female,Master's,Divorced,91035,0,44865,Personal,Self-employed,5,Poor,0.427505537,0,1,0,Medium,38917.96656,#DIV/0!
155,37,Non-binary,PhD,Divorced,76795,645,33454,Personal,Self-employed,13,Excellent,0.508511242,40258,3,0,Low,39051.12083,0.830990114
156,58,Male,PhD,Single,69029,0,39742,Auto,Unemployed,12,Fair,0.369606846,0,4,1,Low,25513.59097,#DIV/0!
157,47,Female,PhD,Married,65463,710,0,Home,Unemployed,4,Good,0.509355158,230368,4,2,Low,33343.91671,0
158,58,Non-binary,Bachelor's,Single,0,791,34903,Auto,Self-employed,7,Good,0.177489309,236635,0,0,Low,0,0.1474972
159,51,Non-binary,Bachelor's,Married,40561,632,42722,Personal,Unemployed,3,Good,0.381899834,0,0,2,Low,15490.23917,#DIV/0!
160,25,Female,Bachelor's,Single,23159,634,0,Business,Employed,11,Good,0.593406902,241024,0,2,Medium,13742.71044,0
161,27,Non-binary,High School,Widowed,61232,643,46522,Business,Unemployed,6,Fair,0.151099075,285561,2,0,Low,9252.09856,0.162914404
162,36,Female,Bachelor's,Single,108304,675,46461,Auto,Self-employed,15,Excellent,0.134004327,0,1,2,Medium,14513.20463,#DIV/0!
163,56,Non-binary,Bachelor's,Widowed,0,728,42333,Home,Employed,17,Good,0.345462911,0,3,2,Low,0,#DIV/0!
164,34,Female,High School,Widowed,118679,731,40823,Auto,Employed,6,Poor,0.353951633,63853,0,2,Low,42006.62585,0.639327831
165,65,Male,Master's,Single,89126,643,38741,Auto,Employed,0,Excellent,0.131449159,50589,4,0,High,11715.53775,0.765798889
166,34,Female,PhD,Divorced,35198,718,0,Business,Unemployed,9,Good,0.155828771,222837,3,1,Low,5484.861082,0
167,66,Non-binary,PhD,Widowed,104677,784,24588,Home,Unemployed,9,Fair,0.304836002,50584,4,0,Low,31909.31818,0.486082556
168,30,Non-binary,PhD,Single,0,699,29559,Home,Unemployed,10,Poor,0.181094003,203837,0,0,Low,0,0.145012927
169,59,Female,Master's,Married,80047,697,42968,Business,Employed,0,Fair,0.36146304,0,1,1,Medium,28934.03196,#DIV/0!
170,27,Non-binary,Master's,Divorced,80523,604,13043,Auto,Employed,15,Excellent,0.112270249,201865,4,1,Low,9040.33726,0.064612489
171,64,Non-binary,PhD,Divorced,117835,640,45787,Business,Self-employed,19,Excellent,0.41214393,0,2,0,Medium,48564.97999,#DIV/0!
172,61,Non-binary,PhD,Divorced,0,604,29783,Personal,Employed,13,Excellent,0.410342991,0,1,2,High,0,#DIV/0!
173,67,Female,Bachelor's,Divorced,0,750,46529,Auto,Self-employed,19,Fair,0.448739802,290306,0,1,Low,0,0.160275709
174,32,Non-binary,Master's,Married,91656,661,0,Personal,Self-employed,1,Excellent,0.515295615,0,0,2,High,47229.93489,#DIV/0!
175,43,Non-binary,Master's,Single,87687,791,16663,Auto,Unemployed,9,Fair,0.315225662,291278,1,0,Medium,27641.19262,0.057206517
176,46,Female,PhD,Divorced,81289,722,0,Auto,Employed,13,Fair,0.248479439,103462,3,2,Low,20198.64512,0
177,56,Female,Bachelor's,Widowed,27807,681,0,Personal,Employed,12,Fair,0.497042103,178108,2,0,Medium,13821.24976,0
178,35,Male,Bachelor's,Widowed,0,711,15286,Personal,Employed,1,Excellent,0.383451591,156329,2,0,Low,0,0.097780962
179,37,Female,PhD,Single,20987,640,8042,Home,Employed,12,Fair,0.442812684,55772,1,1,Low,9293.309799,0.144194219
180,24,Non-binary,Master's,Widowed,61876,791,7070,Personal,Unemployed,0,Excellent,0.114673538,131369,0,0,Low,7095.539837,0.053817872
181,31,Female,Master's,Widowed,108454,716,33552,Personal,Unemployed,8,Poor,0.588002314,24976,2,0,High,63771.20296,1.343369635
182,25,Male,Master's,Widowed,0,753,0,Personal,Self-employed,7,Excellent,0.104689105,101481,3,1,Low,0,0
183,18,Female,PhD,Single,87346,0,26863,Home,Employed,11,Poor,0.556599054,164061,3,1,Low,48616.70097,0.163737878
184,26,Male,High School,Widowed,28583,611,29949,Personal,Employed,19,Excellent,0.200143793,139629,2,0,Medium,5720.710035,0.214489827
185,43,Female,PhD,Divorced,0,705,12071,Business,Employed,8,Good,0.119108756,85658,2,0,Low,0,0.140920871
186,53,Female,High School,Married,31340,790,6687,Business,Self-employed,4,Excellent,0.195110048,0,0,2,Low,6114.748904,#DIV/0!
187,41,Male,Bachelor's,Widowed,50737,624,0,Auto,Self-employed,4,Good,0.538422931,261675,2,1,Medium,27317.96425,0
188,61,Non-binary,Master's,Widowed,88056,684,9746,Personal,Employed,15,Good,0.361356668,48339,0,0,Low,31819.62276,0.201617741
189,25,Male,PhD,Single,115287,0,9520,Auto,Unemployed,3,Excellent,0.39251234,69459,1,2,Low,45251.57014,0.137059272
190,21,Male,Bachelor's,Divorced,39330,769,27489,Home,Self-employed,14,Excellent,0.454610825,284455,0,2,Low,17879.84375,0.096637429
191,52,Non-binary,PhD,Divorced,111594,715,9174,Home,Unemployed,4,Good,0.100815126,137074,2,1,Low,11250.36317,0.066927353
192,27,Female,High School,Divorced,102789,742,10729,Business,Employed,17,Good,0.271307607,269293,1,0,Medium,27887.43762,0.039841362
193,34,Non-binary,Bachelor's,Widowed,0,793,21504,Auto,Employed,12,Good,0.435937741,179496,2,1,Low,0,0.119802113
194,18,Non-binary,High School,Divorced,27313,786,24399,Auto,Self-employed,10,Excellent,0.15104681,284643,0,2,Low,4125.541522,0.085717899
195,46,Male,PhD,Widowed,87228,602,0,Personal,Self-employed,7,Poor,0.555169433,182601,4,1,Low,48426.3193,0
196,63,Female,Bachelor's,Divorced,101844,688,9667,Home,Employed,1,Excellent,0.251662122,61882,4,2,Low,25630.27715,0.15621667
197,32,Male,Master's,Widowed,102949,637,38759,Auto,Self-employed,18,Poor,0.351584417,0,0,0,Low,36195.26415,#DIV/0!
198,47,Non-binary,High School,Married,28673,699,19540,Auto,Unemployed,19,Fair,0.408040672,255563,1,2,Medium,11699.75019,0.076458642
199,22,Female,Bachelor's,Widowed,35973,663,19492,Auto,Unemployed,2,Good,0.432494288,82006,0,0,Medium,15558.11702,0.237689925
200,41,Male,Bachelor's,Single,62011,747,15722,Business,Employed,3,Poor,0.176553915,259195,3,0,Medium,10948.28482,0.060657034
201,65,Female,High School,Divorced,0,618,27165,Home,Self-employed,4,Poor,0.242235447,219776,2,1,Low,0,0.123603123
202,36,Non-binary,Master's,Single,42942,0,5346,Home,Self-employed,7,Good,0.13836783,146854,0,2,Low,5941.791356,0.036403503
203,43,Non-binary,High School,Divorced,111205,736,0,Business,Self-employed,4,Poor,0.273947007,0,0,1,Low,30464.27691,#DIV/0!
204,54,Male,Bachelor's,Married,114486,704,32353,Auto,Self-employed,7,Poor,0.400318279,222630,1,1,Low,45830.83849,0.145321834
205,34,Female,Bachelor's,Single,42064,760,39482,Personal,Employed,0,Excellent,0.201900219,243318,3,2,Low,8492.730812,0.162265019
206,60,Female,PhD,Married,80883,699,46731,Auto,Employed,12,Excellent,0.561233428,200074,0,2,Medium,45394.24336,0.23356858
207,43,Female,PhD,Widowed,31231,712,48935,Personal,Employed,8,Good,0.10750652,277314,3,0,Medium,3357.536126,0.176460619
